episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2
1,-2.07,0,500,0.0,121,68,65
2,303.1499999999999,8,273,1.0,65,30,38
3,146.80999999999995,6,500,0.75,138,66,70
4,144.97500000000005,6,500,0.75,164,66,64
5,43.40000000000005,2,500,0.25,133,68,79
6,45.30500000000005,2,500,0.25,124,79,76
7,44.23999999999998,2,500,0.25,117,74,63
8,119.90999999999943,5,500,0.625,164,68,64
9,100.21999999999989,4,500,0.5,116,67,54
10,146.0050000000001,6,500,0.75,152,61,59
11,47.47500000000012,2,500,0.25,115,52,64
12,90.59499999999944,4,500,0.5,171,61,66
13,91.69999999999963,4,500,0.5,136,64,67
14,150.3049999999997,6,500,0.75,107,64,61
15,296.68499999999926,8,457,1.0,100,57,52
16,147.03000000000006,6,500,0.75,130,68,60
17,-9.99999999999999,0,500,0.0,105,71,70
18,301.8950000000001,8,339,1.0,74,47,45
19,304.9399999999999,8,349,1.0,61,48,38
20,175.1400000000001,7,500,0.875,113,69,54
21,65.22000000000007,3,500,0.375,136,84,81
22,-10.079999999999991,0,500,0.0,112,64,66
23,119.91999999999953,5,500,0.625,141,84,51
24,40.24000000000018,2,500,0.25,127,63,59
25,118.87499999999957,5,500,0.625,128,57,75
26,65.48999999999911,3,500,0.375,145,62,63
27,114.50999999999993,5,500,0.625,119,66,65
28,145.37000000000003,6,500,0.75,145,77,58
29,163.61999999999986,7,500,0.875,126,79,66
30,307.5849999999999,8,407,1.0,74,67,40
31,304.18000000000006,8,316,1.0,59,39,39
32,141.22500000000005,6,500,0.75,131,75,72
33,117.57999999999996,5,500,0.625,134,73,46
34,172.1249999999998,7,500,0.875,108,78,53
35,173.42999999999998,7,500,0.875,118,59,64
36,86.78999999999965,4,500,0.5,115,62,70
37,65.1799999999994,3,500,0.375,131,75,63
38,145.5099999999999,6,500,0.75,135,68,61
39,299.2299999999996,8,449,1.0,130,71,44
40,84.66499999999985,4,500,0.5,128,64,68
41,146.5649999999999,6,500,0.75,130,69,53
42,115.67499999999957,5,500,0.625,117,65,87
43,17.245,1,500,0.125,126,78,66
44,173.57499999999993,7,500,0.875,98,74,67
45,289.7049999999999,8,430,1.0,107,57,50
46,-11.155000000000006,0,500,0.0,116,63,71
47,143.35000000000008,6,500,0.75,134,60,72
48,294.615,8,450,1.0,109,65,45
49,114.99499999999958,5,500,0.625,121,62,65
50,-5.024999999999996,0,500,0.0,113,59,66
51,177.0349999999997,7,500,0.875,97,66,54
52,33.595000000000155,2,500,0.25,121,53,61
53,296.63,8,490,1.0,133,61,60
54,145.3000000000003,6,500,0.75,94,63,56
55,172.37000000000032,7,500,0.875,129,67,49
56,171.13999999999987,7,500,0.875,94,66,47
57,302.57500000000005,8,336,1.0,89,48,38
58,119.48999999999934,5,500,0.625,96,70,46
59,69.93500000000002,3,500,0.375,160,68,51
60,-1.9850000000000032,0,500,0.0,124,64,49
61,116.13499999999983,5,500,0.625,214,68,74
62,146.42999999999967,6,500,0.75,140,72,55
63,293.37,8,497,1.0,130,77,43
64,-9.91499999999999,0,500,0.0,179,72,56
65,36.23500000000004,2,500,0.25,165,57,72
66,34.2900000000001,2,500,0.25,170,49,72
67,141.31500000000034,6,500,0.75,138,77,71
68,296.61499999999995,8,431,1.0,117,59,57
69,118.21499999999918,5,500,0.625,132,81,51
70,145.19,6,500,0.75,229,61,85
71,60.00000000000006,3,500,0.375,179,51,64
72,63.094999999999544,3,500,0.375,180,74,34
73,7.980000000000054,1,500,0.125,146,49,68
74,169.9450000000001,7,500,0.875,144,64,42
75,119.90499999999948,5,500,0.625,129,61,70
76,172.63500000000008,7,500,0.875,152,74,43
77,62.86999999999906,3,500,0.375,146,68,50
78,64.00499999999892,3,500,0.375,117,49,74
79,144.71999999999954,6,500,0.75,147,47,82
80,35.79500000000021,2,500,0.25,209,72,59
81,112.54999999999978,5,500,0.625,252,81,76
82,31.105000000000082,2,500,0.25,300,77,85
83,146.080000000001,6,500,0.75,162,50,48
84,7.580000000000039,1,500,0.125,148,45,101
85,-22.859999999999943,0,500,0.0,239,83,68
86,146.06500000000034,6,500,0.75,118,60,74
87,57.36499999999994,3,500,0.375,123,49,85
88,171.8900000000007,7,500,0.875,88,52,52
89,175.02000000000044,7,500,0.875,114,56,46
90,289.15,8,397,1.0,68,47,38
91,140.9100000000004,6,500,0.75,169,61,55
92,35.5050000000002,2,500,0.25,242,49,66
93,117.90499999999928,5,500,0.625,177,81,38
94,306.54000000000025,8,301,1.0,70,33,25
95,86.65999999999977,4,500,0.5,164,42,62
96,14.814999999999998,1,500,0.125,194,82,49
97,141.69500000000093,6,500,0.75,117,53,55
98,29.660000000000082,2,500,0.25,252,64,38
99,33.1900000000002,2,500,0.25,207,68,62
100,89.46499999999978,4,500,0.5,81,39,78
101,33.05000000000001,2,500,0.25,325,86,75
102,140.1500000000005,6,500,0.75,152,94,48
103,59.195000000000064,3,500,0.375,210,58,83
104,33.27000000000026,2,500,0.25,148,60,56
105,61.73999999999928,3,500,0.375,145,55,64
106,172.83999999999955,7,500,0.875,120,67,41
107,-21.7949999999999,0,500,0.0,194,50,73
108,6.110000000000069,1,500,0.125,95,47,68
109,141.80500000000043,6,500,0.75,231,80,38
110,308.69000000000005,8,208,1.0,60,38,18
111,-24.339999999999915,0,500,0.0,236,57,87
112,35.39500000000018,2,500,0.25,173,47,70
113,110.79999999999934,5,500,0.625,239,97,39
114,81.66999999999982,4,500,0.5,248,81,32
