episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2,distancia_percorrida
1,-6.239999999999996,0,500,0.0,132,69,60,521
2,-7.67999999999999,0,500,0.0,114,70,73,552
3,37.01500000000017,2,500,0.25,184,67,62,468
4,-11.495,0,500,0.0,144,71,60,538
5,172.3749999999998,7,500,0.875,136,66,71,538
6,172.16500000000005,7,500,0.875,145,76,59,528
7,17.595000000000002,1,500,0.125,187,60,69,478
8,171.87999999999988,7,500,0.875,112,68,80,555
9,174.8749999999998,7,500,0.875,114,65,82,572
10,290.95000000000005,8,463,1.0,118,57,66,483
11,-12.734999999999978,0,500,0.0,118,59,59,531
12,144.095,6,500,0.75,160,66,60,491
13,-6.249999999999992,0,500,0.0,137,70,61,529
14,174.11500000000004,7,500,0.875,128,67,64,532
15,146.08000000000007,6,500,0.75,148,62,68,532
16,-14.149999999999986,0,500,0.0,101,63,55,560
17,118.35499999999962,5,500,0.625,139,72,67,538
18,-6.815000000000001,0,500,0.0,141,75,58,536
19,171.93999999999986,7,500,0.875,115,65,77,550
20,-6.460000000000003,0,500,0.0,155,71,71,504
21,299.7699999999996,8,313,1.0,70,44,36,332
22,-8.474999999999998,0,500,0.0,157,62,69,514
23,62.244999999999884,3,500,0.375,137,74,72,527
24,303.55499999999984,8,426,1.0,106,53,45,437
25,151.40499999999986,6,500,0.75,143,58,58,533
26,90.55999999999999,4,500,0.5,188,62,79,507
27,301.49000000000007,8,493,1.0,153,67,68,535
28,146.67499999999995,6,500,0.75,134,64,63,508
29,145.81000000000012,6,500,0.75,123,68,72,542
30,-12.499999999999991,0,500,0.0,101,77,69,564
31,76.3,3,500,0.375,146,54,54,532
32,87.5249999999999,4,500,0.5,157,65,67,497
33,300.68499999999995,8,342,1.0,83,44,43,387
34,117.04499999999979,5,500,0.625,124,69,84,538
35,172.625,7,500,0.875,121,68,60,524
36,90.1299999999993,4,500,0.5,134,69,81,530
37,304.19499999999994,8,402,1.0,100,54,63,440
38,-6.949999999999996,0,500,0.0,136,61,64,524
39,145.69000000000023,6,500,0.75,151,57,68,510
40,-4.579999999999996,0,500,0.0,119,68,61,531
41,-11.274999999999983,0,500,0.0,134,72,71,533
42,307.27,8,220,1.0,49,24,28,250
43,122.58999999999948,5,500,0.625,123,65,53,546
44,-3.8299999999999965,0,500,0.0,131,61,70,547
45,88.7099999999993,4,500,0.5,138,70,79,543
46,87.2149999999998,4,500,0.5,153,73,75,511
47,145.85499999999985,6,500,0.75,133,72,76,545
48,160.08999999999997,7,500,0.875,122,63,79,561
49,144.885,6,500,0.75,138,69,79,510
50,74.6049999999999,3,500,0.375,138,64,68,535
51,97.13000000000001,4,500,0.5,120,77,68,567
52,-3.5850000000000017,0,500,0.0,110,67,85,561
53,-10.309999999999999,0,500,0.0,141,55,60,521
54,289.65999999999997,8,499,1.0,155,72,58,514
55,-2.9399999999999915,0,500,0.0,139,69,63,522
56,169.90499999999997,7,500,0.875,132,73,68,524
57,290.03499999999997,8,430,1.0,101,65,59,459
58,3.000000000000036,1,500,0.125,147,83,77,550
59,-9.769999999999989,0,500,0.0,135,59,65,514
60,143.18500000000003,6,500,0.75,171,66,67,495
61,-8.610000000000001,0,500,0.0,124,72,60,528
62,151.18499999999975,6,500,0.75,117,67,72,567
63,47.03500000000003,2,500,0.25,153,61,68,516
64,143.4999999999997,6,500,0.75,152,74,61,501
65,301.15499999999986,8,308,1.0,73,42,34,325
66,142.81000000000003,6,500,0.75,132,74,62,510
67,56.77499999999965,3,500,0.375,144,62,71,520
68,174.55500000000004,7,500,0.875,161,56,73,530
69,173.27499999999995,7,500,0.875,170,55,69,487
70,-9.90999999999999,0,500,0.0,128,76,50,524
71,143.42000000000007,6,500,0.75,157,74,67,511
