episodio,recompensa,entregas,steps,taxa_sucesso,sucesso_completo,colisoes,falha_r1,falha_r2,distancia
1,317.3340000000002,8,533,1.0,1.0,140,47,51,527
2,195.2540000000003,6,1000,0.75,0.0,329,104,100,1017
3,172.9820000000001,6,1000,0.75,0.0,278,90,90,1042
4,217.754,7,1000,0.875,0.0,286,88,114,1031
5,234.16600000000062,7,1000,0.875,0.0,309,111,100,1036
6,314.9619999999999,8,546,1.0,1.0,170,54,40,571
7,314.906,8,334,1.0,1.0,122,33,28,341
8,75.72000000000016,3,1000,0.375,0.0,244,99,93,1125
9,363.4899999999999,8,522,1.0,1.0,157,69,68,562
10,320.766,8,569,1.0,1.0,168,48,54,577
11,226.88599999999946,7,1000,0.875,0.0,266,85,98,1078
12,240.57200000000097,7,1000,0.875,0.0,318,93,101,1026
13,311.82199999999983,8,323,1.0,1.0,80,22,35,349
14,90.47000000000008,3,1000,0.375,0.0,304,103,101,1038
15,322.77200000000016,8,456,1.0,1.0,135,41,42,485
16,320.4860000000004,8,914,1.0,1.0,292,83,93,906
17,209.3279999999998,7,1000,0.875,0.0,341,107,84,980
18,178.4959999999981,7,1000,0.875,0.0,269,101,116,1103
19,-17.15199999999985,0,1000,0.0,0.0,340,96,119,1048
20,231.7260000000006,7,1000,0.875,0.0,393,91,87,933
21,290.6539999999997,8,907,1.0,1.0,331,82,93,878
22,-27.19799999999976,0,1000,0.0,0.0,323,109,107,1088
23,239.96800000000067,7,1000,0.875,0.0,373,115,116,1063
24,355.5100000000001,8,784,1.0,1.0,220,81,80,850
25,234.82400000000086,7,1000,0.875,0.0,278,88,90,1001
26,243.8260000000003,7,1000,0.875,0.0,315,96,110,1082
27,73.76599999999873,2,1000,0.25,0.0,414,116,93,957
28,149.06400000000073,4,1000,0.5,0.0,320,94,104,1072
29,373.662,8,422,1.0,1.0,133,33,43,458
30,281.748,8,963,1.0,1.0,359,99,100,971
31,315.3679999999998,8,528,1.0,1.0,179,53,62,532
32,-20.93999999999981,0,1000,0.0,0.0,333,119,112,1150
33,234.5800000000008,7,1000,0.875,0.0,340,88,103,1014
34,353.40199999999976,8,631,1.0,1.0,288,75,71,615
35,316.928,8,430,1.0,1.0,158,45,39,415
36,305.6999999999997,8,830,1.0,1.0,284,90,96,851
37,283.31199999999967,8,879,1.0,1.0,333,86,90,898
38,306.3159999999997,8,540,1.0,1.0,206,58,66,550
39,311.4979999999998,8,412,1.0,1.0,154,24,44,396
40,278.31599999999975,8,886,1.0,1.0,296,99,91,961
41,298.3859999999996,8,786,1.0,1.0,271,86,76,813
42,309.6199999999999,8,821,1.0,1.0,271,81,92,748
43,314.26599999999974,8,256,1.0,1.0,67,24,24,254
44,198.40000000000134,6,1000,0.75,0.0,278,73,115,913
45,307.24399999999946,8,398,1.0,1.0,125,35,39,418
46,299.47999999999945,8,615,1.0,1.0,250,60,49,629
47,315.8919999999997,8,590,1.0,1.0,190,56,68,560
48,302.8679999999996,8,738,1.0,1.0,171,58,67,633
49,308.57599999999957,8,626,1.0,1.0,176,47,64,592
50,306.03399999999976,8,651,1.0,1.0,230,76,70,670
51,308.75,8,317,1.0,1.0,112,27,26,298
52,316.38399999999984,8,323,1.0,1.0,102,37,24,358
53,316.222,8,471,1.0,1.0,172,42,40,423
54,7.830000000000091,0,1000,0.0,0.0,443,83,103,911
55,283.29599999999976,8,839,1.0,1.0,267,88,65,869
56,283.13399999999973,8,714,1.0,1.0,266,71,78,688
57,76.872,3,1000,0.375,0.0,330,82,88,842
58,353.1539999999999,8,668,1.0,1.0,279,63,57,629
59,199.44399999999982,7,1000,0.875,0.0,342,99,106,918
60,302.12799999999953,8,611,1.0,1.0,183,54,57,563
61,203.4920000000008,6,1000,0.75,0.0,377,93,118,981
62,367.82999999999936,8,752,1.0,1.0,276,85,78,696
63,281.4899999999992,8,958,1.0,1.0,415,115,85,879
64,318.03600000000023,8,576,1.0,1.0,187,58,62,531
65,315.0199999999998,8,358,1.0,1.0,69,42,39,351
66,361.6419999999993,8,598,1.0,1.0,202,60,55,557
67,309.4399999999997,8,710,1.0,1.0,246,71,71,712
68,302.8899999999999,8,671,1.0,1.0,279,55,77,551
69,230.33400000000123,7,1000,0.875,0.0,387,101,79,888
70,369.6139999999998,8,503,1.0,1.0,144,37,34,460
71,358.7099999999998,8,719,1.0,1.0,345,61,55,531
72,229.66600000000088,7,1000,0.875,0.0,372,123,82,937
