episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2,distancia_percorrida
1,-11.515000000000004,0,500,0.0,123,69,61,536
2,-5.994999999999964,0,500,0.0,116,63,62,538
3,142.1899999999999,6,500,0.75,144,64,60,518
4,298.84000000000015,8,400,1.0,107,49,49,422
5,118.68999999999994,5,500,0.625,171,64,63,485
6,14.665000000000113,1,500,0.125,119,57,62,534
7,120.96000000000018,5,500,0.625,148,66,62,516
8,176.85499999999956,7,500,0.875,107,61,61,537
9,145.26499999999982,6,500,0.75,146,63,61,477
10,291.3799999999997,8,479,1.0,146,54,57,476
11,297.79000000000013,8,319,1.0,78,38,40,330
12,-5.589999999999986,0,500,0.0,118,64,61,527
13,296.44500000000016,8,478,1.0,106,50,64,485
14,301.2949999999979,8,482,1.0,100,65,63,499
15,287.8349999999996,8,431,1.0,79,64,64,453
16,302.88999999999896,8,371,1.0,93,48,56,382
17,-6.22999999999994,0,500,0.0,124,75,57,506
18,295.1850000000002,8,399,1.0,90,45,55,407
19,-10.924999999999997,0,500,0.0,94,62,73,580
20,304.87499999999943,8,330,1.0,85,40,39,326
21,17.76500000000006,1,500,0.125,148,75,63,525
22,293.1050000000002,8,492,1.0,143,61,71,527
23,147.17999999999807,6,500,0.75,99,66,60,508
24,-10.419999999999943,0,500,0.0,167,51,62,469
25,172.4849999999978,7,500,0.875,152,48,60,458
26,170.7649999999982,7,500,0.875,125,69,63,475
27,305.1549999999999,8,216,1.0,43,27,26,216
28,94.54000000000025,4,500,0.5,155,68,50,496
29,169.7899999999963,7,500,0.875,136,67,79,496
30,288.49499999999995,8,498,1.0,96,65,74,538
31,286.875,8,472,1.0,122,68,65,496
32,172.45499999999888,7,500,0.875,137,61,54,468
33,171.19999999999968,7,500,0.875,142,67,60,507
34,93.49000000000002,4,500,0.5,137,61,72,517
35,298.56500000000034,8,437,1.0,143,48,49,418
36,61.46499999999969,3,500,0.375,146,62,77,512
37,298.74000000000007,8,356,1.0,78,49,52,377
38,309.04999999999967,8,279,1.0,65,23,40,289
39,21.34500000000006,1,500,0.125,111,70,53,528
40,305.21999999999974,8,295,1.0,84,36,46,280
41,169.36999999999662,7,500,0.875,129,73,62,519
42,165.7400000000001,7,500,0.875,123,58,61,505
43,304.449999999999,8,318,1.0,83,39,40,287
44,169.339999999996,7,500,0.875,142,80,71,483
45,172.10999999999657,7,500,0.875,128,63,59,470
46,296.85499999999996,8,365,1.0,78,39,63,379
47,303.97999999999996,8,261,1.0,62,28,46,271
48,143.62499999999625,6,500,0.75,146,68,68,460
49,175.16499999999544,7,500,0.875,118,53,60,483
50,114.16000000000099,5,500,0.625,114,67,66,511
51,302.3199999999999,8,379,1.0,109,53,50,383
52,302.88,8,261,1.0,62,44,31,271
53,171.55999999999904,7,500,0.875,126,80,56,504
54,306.0049999999992,8,267,1.0,64,31,28,256
55,88.83500000000019,4,500,0.5,130,57,71,523
56,37.259999999999025,2,500,0.25,136,51,66,453
57,170.9799999999985,7,500,0.875,179,84,45,473
58,306.7049999999973,8,379,1.0,97,41,48,378
59,300.04999999999603,8,494,1.0,154,59,58,432
60,37.30499999999861,2,500,0.25,171,47,75,466
61,89.71500000000039,4,500,0.5,155,79,63,479
62,301.0449999999999,8,363,1.0,115,44,35,342
63,112.67500000000085,5,500,0.625,155,69,62,476
64,92.36000000000064,4,500,0.5,118,49,52,450
65,302.20999999999947,8,421,1.0,128,59,30,409
66,173.55499999999608,7,500,0.875,144,73,46,464
67,304.64999999999725,8,386,1.0,76,50,46,376
68,174.479999999996,7,500,0.875,151,75,68,537
69,65.71500000000066,3,500,0.375,126,44,62,433
70,65.715000000001,3,500,0.375,132,45,55,419
71,175.60999999999424,7,500,0.875,91,47,58,447
72,169.9999999999996,7,500,0.875,149,65,58,468
73,311.7049999999996,8,174,1.0,41,26,17,176
74,175.26999999999538,7,500,0.875,101,64,61,499
75,144.57499999999655,6,500,0.75,124,63,59,473
76,298.67499999999694,8,496,1.0,118,61,62,443
77,116.81500000000032,5,500,0.625,114,58,68,489
78,304.3899999999969,8,446,1.0,67,43,47,422
79,299.20500000000044,8,440,1.0,88,45,50,362
80,36.909999999998405,2,500,0.25,151,52,49,421
81,306.8349999999982,8,362,1.0,64,37,30,332
82,9.37000000000022,1,500,0.125,161,74,68,562
83,97.07500000000014,4,500,0.5,91,58,55,516
84,309.9799999999992,8,273,1.0,55,37,24,291
85,145.3049999999987,6,500,0.75,143,66,60,486
86,38.244999999999,2,500,0.25,152,61,80,514
87,-19.07499999999983,0,500,0.0,123,80,77,569
88,175.30499999999503,7,500,0.875,109,48,67,469
89,175.0649999999947,7,500,0.875,143,53,61,468
90,176.20499999999532,7,500,0.875,124,73,56,524
91,174.02499999999617,7,500,0.875,137,84,64,551
92,65.31000000000003,3,500,0.375,136,48,64,496
93,175.5449999999946,7,500,0.875,120,57,67,498
94,11.825000000000296,1,500,0.125,178,52,65,488
95,310.9349999999982,8,233,1.0,54,16,24,189
96,9.270000000000259,1,500,0.125,98,58,80,585
97,303.5199999999951,8,454,1.0,99,44,48,376
98,59.74000000000009,3,500,0.375,128,87,67,481
99,64.14000000000055,3,500,0.375,113,68,50,478
100,13.820000000000302,1,500,0.125,109,61,62,553
101,149.01499999999612,6,500,0.75,99,54,61,476
102,172.64499999999978,7,500,0.875,107,52,51,416
103,307.38999999999953,8,303,1.0,56,34,31,264
104,61.30999999999992,3,500,0.375,116,40,52,400
105,95.92000000000067,4,500,0.5,179,47,70,421
106,148.29499999999646,6,500,0.75,92,57,60,492
107,-18.184999999999896,0,500,0.0,148,83,60,568
108,120.82499999999924,5,500,0.625,153,76,33,443
109,173.70999999999853,7,500,0.875,114,55,53,446
