episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2
1,123.48499999999962,5,500,0.625,156,65,53
2,145.88999999999984,6,500,0.75,117,76,64
3,144.16999999999987,6,500,0.75,164,69,77
4,9.495000000000012,1,500,0.125,157,68,63
5,163.07999999999996,7,500,0.875,119,64,71
6,301.07500000000016,8,372,1.0,122,53,53
7,36.985000000000134,2,500,0.25,154,65,68
8,175.84500000000003,7,500,0.875,110,61,70
9,96.58499999999987,4,500,0.5,136,55,82
10,88.03999999999928,4,500,0.5,159,62,72
11,296.4649999999998,8,340,1.0,112,47,44
12,144.1549999999997,6,500,0.75,153,59,68
13,69.80999999999956,3,500,0.375,135,53,64
14,295.655,8,419,1.0,90,38,48
15,303.49,8,400,1.0,81,49,45
16,307.09999999999997,8,294,1.0,57,38,35
17,174.0450000000003,7,500,0.875,96,45,57
18,166.61500000000055,7,500,0.875,134,53,77
19,167.25,7,500,0.875,114,62,74
20,61.82500000000004,3,500,0.375,96,52,49
21,-17.739999999999984,0,500,0.0,109,38,62
22,144.91999999999985,6,500,0.75,111,60,56
23,121.93999999999954,5,500,0.625,116,70,51
24,149.6499999999999,6,500,0.75,128,51,52
25,285.78,8,445,1.0,80,43,48
26,295.66499999999996,8,469,1.0,107,52,50
27,170.30500000000006,7,500,0.875,124,68,67
28,-13.014999999999993,0,500,0.0,136,53,62
29,-12.184999999999992,0,500,0.0,124,72,63
30,-12.15,0,500,0.0,127,57,81
31,-5.414999999999997,0,500,0.0,106,67,62
32,94.8449999999996,4,500,0.5,142,56,65
33,22.880000000000013,1,500,0.125,157,56,62
34,293.0849999999998,8,386,1.0,85,64,64
35,-6.200000000000006,0,500,0.0,142,68,58
36,-0.7849999999999998,0,500,0.0,143,50,65
37,177.01000000000005,7,500,0.875,125,44,52
38,147.08500000000035,6,500,0.75,165,67,63
39,144.235,6,500,0.75,114,65,77
40,179.35000000000005,7,500,0.875,96,42,56
41,92.29499999999929,4,500,0.5,106,60,65
42,173.70000000000044,7,500,0.875,78,58,82
43,42.52000000000004,2,500,0.25,128,65,69
44,92.48999999999967,4,500,0.5,147,56,73
45,112.2949999999995,5,500,0.625,189,49,77
46,295.9800000000001,8,463,1.0,132,57,67
47,172.10999999999999,7,500,0.875,183,56,71
48,120.88499999999969,5,500,0.625,135,54,79
49,116.59999999999962,5,500,0.625,167,55,79
50,36.43500000000013,2,500,0.25,137,69,72
51,306.2,8,276,1.0,73,32,45
52,299.645,8,388,1.0,94,52,42
53,121.20999999999968,5,500,0.625,122,52,73
54,145.98499999999984,6,500,0.75,115,65,58
55,120.3649999999994,5,500,0.625,115,59,71
56,146.60500000000002,6,500,0.75,153,53,66
57,144.15499999999992,6,500,0.75,113,59,88
58,146.33000000000033,6,500,0.75,116,55,49
59,303.5100000000001,8,388,1.0,81,50,50
60,122.93999999999966,5,500,0.625,119,52,57
61,173.0050000000004,7,500,0.875,146,56,60
62,293.215,8,430,1.0,77,60,40
63,92.02999999999939,4,500,0.5,135,68,58
