episodio,recompensa,entregas,steps,taxa_sucesso,sucesso_completo,colisoes,falha_r1,falha_r2,distancia
1,128.4920000000001,4,500,0.5,0.0,200,42,57,453
2,19.234000000000087,0,500,0.0,0.0,148,51,51,536
3,199.75200000000007,6,500,0.75,0.0,144,59,46,557
4,4.156000000000051,0,500,0.0,0.0,142,55,56,502
5,5.7040000000000735,0,500,0.0,0.0,132,52,58,528
6,197.75400000000016,6,500,0.75,0.0,149,68,55,527
7,45.24399999999996,1,500,0.125,0.0,143,51,37,517
8,16.514000000000035,0,500,0.0,0.0,143,43,51,533
9,312.9579999999999,8,380,1.0,1.0,82,38,37,423
10,227.02600000000035,7,500,0.875,0.0,177,42,50,498
11,131.4340000000001,4,500,0.5,0.0,122,57,43,518
12,226.90200000000033,7,500,0.875,0.0,146,53,51,506
13,103.16600000000012,3,500,0.375,0.0,148,37,51,514
14,12.146000000000035,0,500,0.0,0.0,129,50,50,506
15,133.39999999999986,4,500,0.5,0.0,170,53,46,504
16,7.800000000000071,0,500,0.0,0.0,176,56,58,486
17,226.1560000000001,7,500,0.875,0.0,180,43,44,482
18,375.012,8,430,1.0,1.0,101,51,52,475
19,227.47000000000023,7,500,0.875,0.0,160,51,53,503
20,225.5640000000002,7,500,0.875,0.0,175,52,56,497
21,69.57000000000004,2,500,0.25,0.0,119,58,52,515
22,131.44200000000038,4,500,0.5,0.0,119,63,39,509
23,163.1320000000003,5,500,0.625,0.0,170,49,49,525
24,224.516,7,500,0.875,0.0,158,36,58,510
25,66.6679999999997,2,500,0.25,0.0,159,41,51,475
26,162.58000000000058,5,500,0.625,0.0,202,52,44,456
27,166.97400000000025,5,500,0.625,0.0,164,49,57,535
28,198.54400000000004,6,500,0.75,0.0,130,46,43,528
29,318.868,8,378,1.0,1.0,117,39,31,388
30,42.447999999999844,1,500,0.125,0.0,164,50,46,489
31,228.71200000000007,7,500,0.875,0.0,137,52,47,516
32,231.77400000000046,7,500,0.875,0.0,119,40,50,506
33,196.99400000000026,6,500,0.75,0.0,148,53,45,517
34,161.2240000000005,5,500,0.625,0.0,119,47,47,498
35,131.9800000000003,4,500,0.5,0.0,155,53,62,510
36,19.11800000000003,0,500,0.0,0.0,132,62,56,561
37,73.58400000000002,2,500,0.25,0.0,161,49,57,520
38,227.2700000000002,7,500,0.875,0.0,176,54,54,493
39,201.922,6,500,0.75,0.0,138,61,56,529
40,134.18600000000046,4,500,0.5,0.0,146,44,53,508
41,226.13800000000015,7,500,0.875,0.0,151,53,46,492
42,162.224,5,500,0.625,0.0,155,71,48,538
43,13.05000000000001,0,500,0.0,0.0,132,51,54,520
44,199.01799999999997,6,500,0.75,0.0,129,57,54,564
45,199.2380000000001,6,500,0.75,0.0,157,53,45,526
46,160.94800000000035,5,500,0.625,0.0,192,52,39,458
47,10.856000000000057,0,500,0.0,0.0,171,56,58,530
48,2.9200000000000887,0,500,0.0,0.0,170,34,56,520
49,15.808000000000023,0,500,0.0,0.0,228,44,41,478
50,308.5779999999999,8,251,1.0,1.0,67,32,26,276
51,63.26799999999996,2,500,0.25,0.0,171,46,44,452
52,378.01,8,446,1.0,1.0,158,48,53,471
